starting_time,travel_time
2016-07-19 06:00:00,170.09
2016-07-19 06:20:00,0.0
2016-07-19 06:40:00,0.0
2016-07-19 07:00:00,65.41
2016-07-19 07:20:00,0.0
2016-07-19 07:40:00,0.0
2016-07-19 08:00:00,0.0
2016-07-19 08:20:00,128.75
2016-07-19 08:40:00,71.89333333333333
2016-07-19 09:00:00,177.10666666666665
2016-07-19 09:20:00,104.33
2016-07-19 09:40:00,0.0
2016-07-19 10:00:00,132.67666666666668
2016-07-19 10:20:00,170.595
2016-07-19 10:40:00,79.57
2016-07-19 11:00:00,54.46
2016-07-19 11:20:00,0.0
2016-07-19 11:40:00,0.0
2016-07-19 12:00:00,145.29
2016-07-19 12:20:00,71.365
2016-07-19 12:40:00,23.19
2016-07-19 13:00:00,0.0
2016-07-19 13:20:00,140.65
2016-07-19 13:40:00,99.61333333333333
2016-07-19 14:00:00,179.97666666666666
2016-07-19 14:20:00,160.785
2016-07-19 14:40:00,67.3
2016-07-19 15:00:00,0.0
2016-07-19 15:20:00,163.81
2016-07-19 15:40:00,90.01
2016-07-19 16:00:00,0.0
2016-07-19 16:20:00,105.64
2016-07-19 16:40:00,122.31
2016-07-19 17:00:00,0.0
2016-07-19 17:20:00,0.0
2016-07-19 17:40:00,0.0
2016-07-19 18:00:00,0.0
2016-07-19 18:20:00,382.03
2016-07-19 18:40:00,0.0
2016-07-20 06:00:00,122.68
2016-07-20 06:20:00,67.35499999999999
2016-07-20 06:40:00,179.50666666666666
2016-07-20 07:00:00,137.825
2016-07-20 07:20:00,98.19999999999999
2016-07-20 07:40:00,94.11
2016-07-20 08:00:00,212.31
2016-07-20 08:20:00,0.0
2016-07-20 08:40:00,0.0
2016-07-20 09:00:00,151.44
2016-07-20 09:20:00,115.11
2016-07-20 09:40:00,155.405
2016-07-20 10:00:00,107.35
2016-07-20 10:20:00,0.0
2016-07-20 10:40:00,0.0
2016-07-20 11:00:00,102.92
2016-07-20 11:20:00,0.0
2016-07-20 11:40:00,98.19999999999999
2016-07-20 12:00:00,0.0
2016-07-20 12:20:00,91.31
2016-07-20 12:40:00,0.0
2016-07-20 13:00:00,162.35333333333332
2016-07-20 13:20:00,0.0
2016-07-20 13:40:00,231.91
2016-07-20 14:00:00,155.32999999999996
2016-07-20 14:20:00,159.89
2016-07-20 14:40:00,215.22
2016-07-20 15:00:00,146.8
2016-07-20 15:20:00,0.0
2016-07-20 15:40:00,0.0
2016-07-20 16:00:00,144.82999999999998
2016-07-20 16:20:00,0.0
2016-07-20 16:40:00,0.0
2016-07-20 17:00:00,0.0
2016-07-20 17:20:00,0.0
2016-07-20 17:40:00,0.0
2016-07-20 18:00:00,0.0
2016-07-20 18:20:00,0.0
2016-07-20 18:40:00,0.0
2016-07-21 06:00:00,0.0
2016-07-21 06:20:00,0.0
2016-07-21 06:40:00,170.21499999999997
2016-07-21 07:00:00,0.0
2016-07-21 07:20:00,0.0
2016-07-21 07:40:00,99.62666666666667
2016-07-21 08:00:00,151.02333333333334
2016-07-21 08:20:00,108.87
2016-07-21 08:40:00,0.0
2016-07-21 09:00:00,173.365
2016-07-21 09:20:00,125.43666666666667
2016-07-21 09:40:00,162.565
2016-07-21 10:00:00,151.15
2016-07-21 10:20:00,0.0
2016-07-21 10:40:00,114.94
2016-07-21 11:00:00,102.565
2016-07-21 11:20:00,70.34
2016-07-21 11:40:00,89.66499999999999
2016-07-21 12:00:00,21.79
2016-07-21 12:20:00,0.0
2016-07-21 12:40:00,132.36333333333332
2016-07-21 13:00:00,89.65
2016-07-21 13:20:00,95.095
2016-07-21 13:40:00,0.0
2016-07-21 14:00:00,0.0
2016-07-21 14:20:00,0.0
2016-07-21 14:40:00,123.63
2016-07-21 15:00:00,32.63
2016-07-21 15:20:00,79.7
2016-07-21 15:40:00,0.0
2016-07-21 16:00:00,88.68
2016-07-21 16:20:00,0.0
2016-07-21 16:40:00,50.96
2016-07-21 17:00:00,0.0
2016-07-21 17:20:00,0.0
2016-07-21 17:40:00,113.745
2016-07-21 18:00:00,0.0
2016-07-21 18:20:00,0.0
2016-07-21 18:40:00,0.0
2016-07-22 06:00:00,0.0
2016-07-22 06:20:00,64.17
2016-07-22 06:40:00,123.50666666666666
2016-07-22 07:00:00,50.62
2016-07-22 07:20:00,222.15
2016-07-22 07:40:00,124.84
2016-07-22 08:00:00,0.0
2016-07-22 08:20:00,0.0
2016-07-22 08:40:00,0.0
2016-07-22 09:00:00,92.82333333333334
2016-07-22 09:20:00,78.81
2016-07-22 09:40:00,131.89
2016-07-22 10:00:00,0.0
2016-07-22 10:20:00,73.33500000000001
2016-07-22 10:40:00,53.73666666666667
2016-07-22 11:00:00,107.03
2016-07-22 11:20:00,51.75
2016-07-22 11:40:00,0.0
2016-07-22 12:00:00,81.12
2016-07-22 12:20:00,66.645
2016-07-22 12:40:00,162.43
2016-07-22 13:00:00,0.0
2016-07-22 13:20:00,151.04
2016-07-22 13:40:00,123.72
2016-07-22 14:00:00,192.34
2016-07-22 14:20:00,117.9
2016-07-22 14:40:00,181.2
2016-07-22 15:00:00,142.54666666666665
2016-07-22 15:20:00,117.94666666666667
2016-07-22 15:40:00,0.0
2016-07-22 16:00:00,0.0
2016-07-22 16:20:00,77.02
2016-07-22 16:40:00,98.11
2016-07-22 17:00:00,29.71
2016-07-22 17:20:00,0.0
2016-07-22 17:40:00,83.02
2016-07-22 18:00:00,124.965
2016-07-22 18:20:00,0.0
2016-07-22 18:40:00,0.0
2016-07-23 06:00:00,0.0
2016-07-23 06:20:00,116.91999999999999
2016-07-23 06:40:00,0.0
2016-07-23 07:00:00,62.96
2016-07-23 07:20:00,0.0
2016-07-23 07:40:00,137.48000000000002
2016-07-23 08:00:00,75.11
2016-07-23 08:20:00,96.02
2016-07-23 08:40:00,184.72
2016-07-23 09:00:00,124.46
2016-07-23 09:20:00,151.87
2016-07-23 09:40:00,0.0
2016-07-23 10:00:00,174.26999999999998
2016-07-23 10:20:00,0.0
2016-07-23 10:40:00,116.74
2016-07-23 11:00:00,0.0
2016-07-23 11:20:00,0.0
2016-07-23 11:40:00,0.0
2016-07-23 12:00:00,98.93
2016-07-23 12:20:00,88.42
2016-07-23 12:40:00,20.54
2016-07-23 13:00:00,150.07
2016-07-23 13:20:00,185.19
2016-07-23 13:40:00,95.76
2016-07-23 14:00:00,182.42
2016-07-23 14:20:00,179.2
2016-07-23 14:40:00,0.0
2016-07-23 15:00:00,0.0
2016-07-23 15:20:00,97.23
2016-07-23 15:40:00,146.17000000000004
2016-07-23 16:00:00,0.0
2016-07-23 16:20:00,96.315
2016-07-23 16:40:00,0.0
2016-07-23 17:00:00,0.0
2016-07-23 17:20:00,94.35
2016-07-23 17:40:00,117.84999999999998
2016-07-23 18:00:00,152.09
2016-07-23 18:20:00,0.0
2016-07-23 18:40:00,110.63
2016-07-24 06:00:00,165.41
2016-07-24 06:20:00,84.85
2016-07-24 06:40:00,0.0
2016-07-24 07:00:00,73.24
2016-07-24 07:20:00,0.0
2016-07-24 07:40:00,0.0
2016-07-24 08:00:00,0.0
2016-07-24 08:20:00,138.98333333333335
2016-07-24 08:40:00,98.59
2016-07-24 09:00:00,113.695
2016-07-24 09:20:00,87.16
2016-07-24 09:40:00,104.42
2016-07-24 10:00:00,116.29
2016-07-24 10:20:00,100.86
2016-07-24 10:40:00,0.0
2016-07-24 11:00:00,89.65
2016-07-24 11:20:00,0.0
2016-07-24 11:40:00,123.10666666666668
2016-07-24 12:00:00,99.89
2016-07-24 12:20:00,155.91333333333333
2016-07-24 12:40:00,0.0
2016-07-24 13:00:00,113.095
2016-07-24 13:20:00,150.53
2016-07-24 13:40:00,0.0
2016-07-24 14:00:00,31.38
2016-07-24 14:20:00,0.0
2016-07-24 14:40:00,88.14
2016-07-24 15:00:00,92.23666666666668
2016-07-24 15:20:00,126.8
2016-07-24 15:40:00,0.0
2016-07-24 16:00:00,0.0
2016-07-24 16:20:00,0.0
2016-07-24 16:40:00,0.0
2016-07-24 17:00:00,0.0
2016-07-24 17:20:00,125.93
2016-07-24 17:40:00,106.86
